IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, TTC CAMERA, TTC LIDAR, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
2, HARRIS, BRISK, MAT_BF, SEL_KNN, 114, 1088, 15, 10.195, 12.6142, 13.5428, 1.35345, 0.091659
3, HARRIS, BRISK, MAT_BF, SEL_KNN, 178, 1280, 12, -18.2644, 14.091, 14.8681, 1.3754, 0.083598
4, HARRIS, BRISK, MAT_BF, SEL_KNN, 250, 1792, 15, 11.3951, 16.6894, 16.0962, 1.44142, 0.116051
5, HARRIS, BRISK, MAT_BF, SEL_KNN, 241, 1728, 19, 11.3951, 15.7465, 15.992, 1.41783, 0.109435
6, HARRIS, BRISK, MAT_BF, SEL_KNN, 259, 1856, 17, 13.5599, 12.7835, 17.122, 1.4573, 0.110238
7, HARRIS, BRISK, MAT_BF, SEL_KNN, 272, 1984, 18, 14.0535, 11.9844, 18.3276, 1.46764, 0.116857
8, HARRIS, BRISK, MAT_BF, SEL_KNN, 193, 1408, 19, 14.0535, 13.1241, 14.9224, 1.42543, 0.109629
9, HARRIS, BRISK, MAT_BF, SEL_KNN, 129, 1088, 10, nan, 13.0241, 13.6331, 1.33565, 0.089644
10, HARRIS, BRISK, MAT_BF, SEL_KNN, 248, 1856, 8, 14.0535, 11.1746, 17.3348, 1.45653, 0.089017
11, HARRIS, BRISK, MAT_BF, SEL_KNN, 147, 1216, 16, 14.0535, 12.8086, 13.7907, 1.30631, 0.098128
12, HARRIS, BRISK, MAT_BF, SEL_KNN, 168, 1408, 14, 10.674, 8.95978, 14.3039, 1.42837, 0.088413
13, HARRIS, BRISK, MAT_BF, SEL_KNN, 181, 1280, 17, 10.674, 9.96439, 14.7313, 1.35417, 0.096467
14, HARRIS, BRISK, MAT_BF, SEL_KNN, 144, 1152, 16, 5.66097, 9.59863, 13.8032, 1.34187, 0.084197
15, HARRIS, BRISK, MAT_BF, SEL_KNN, 243, 1792, 14, 5.66097, 8.52157, 16.6595, 1.47392, 0.090403
16, HARRIS, BRISK, MAT_BF, SEL_KNN, 213, 1984, 21, 10.3958, 9.51552, 15.9468, 1.48238, 0.120435
17, HARRIS, BRISK, MAT_BF, SEL_KNN, 126, 1024, 15, 12.5848, 9.61241, 13.7083, 1.36193, 0.107026
1, HARRIS, BRIEF, MAT_BF, SEL_KNN, 209, 736, 13, 12.5848, 12.5156, 15.3585, 0.877807, 0.078854
2, HARRIS, BRIEF, MAT_BF, SEL_KNN, 114, 544, 18, 10.195, 12.6142, 13.3639, 0.868469, 0.101738
3, HARRIS, BRIEF, MAT_BF, SEL_KNN, 178, 640, 13, -20.0948, 14.091, 14.0548, 0.835497, 0.087304
4, HARRIS, BRIEF, MAT_BF, SEL_KNN, 250, 896, 17, 11.3951, 16.6894, 16.7138, 1.18701, 0.098082
5, HARRIS, BRIEF, MAT_BF, SEL_KNN, 241, 864, 27, 35.3833, 15.7465, 16.1436, 0.871553, 0.110546
6, HARRIS, BRIEF, MAT_BF, SEL_KNN, 259, 928, 22, 15.2483, 12.7835, 17.0416, 1.1927, 0.112877
7, HARRIS, BRIEF, MAT_BF, SEL_KNN, 272, 992, 27, 16.7724, 11.9844, 18.7272, 1.19958, 0.12885
8, HARRIS, BRIEF, MAT_BF, SEL_KNN, 193, 704, 22, 16.7724, 13.1241, 14.8702, 0.858862, 0.123926
9, HARRIS, BRIEF, MAT_BF, SEL_KNN, 129, 544, 16, nan, 13.0241, 13.1684, 0.844116, 0.108468
10, HARRIS, BRIEF, MAT_BF, SEL_KNN, 248, 928, 16, -13.4405, 11.1746, 16.9443, 1.20207, 0.093143
11, HARRIS, BRIEF, MAT_BF, SEL_KNN, 147, 608, 19, 11.7414, 12.8086, 13.69, 0.827723, 0.117117
12, HARRIS, BRIEF, MAT_BF, SEL_KNN, 168, 704, 18, 10.674, 8.95978, 15.5457, 0.837109, 0.101786
13, HARRIS, BRIEF, MAT_BF, SEL_KNN, 181, 640, 19, 10.674, 9.96439, 13.8017, 0.881058, 0.10095
14, HARRIS, BRIEF, MAT_BF, SEL_KNN, 144, 576, 16, 5.6061, 9.59863, 13.0427, 0.80707, 0.097149
15, HARRIS, BRIEF, MAT_BF, SEL_KNN, 243, 896, 15, 5.6061, 8.52157, 16.3024, 0.901615, 0.091514
16, HARRIS, BRIEF, MAT_BF, SEL_KNN, 213, 992, 26, 7.85926, 9.51552, 15.1127, 0.858999, 0.12675
17, HARRIS, BRIEF, MAT_BF, SEL_KNN, 126, 512, 21, 11.7964, 9.61241, 13.0476, 0.823456, 0.129674
1, HARRIS, ORB, MAT_BF, SEL_KNN, 209, 736, 13, 11.7964, 12.5156, 14.7628, 1.44751, 0.073879
2, HARRIS, ORB, MAT_BF, SEL_KNN, 114, 544, 16, 10.195, 12.6142, 12.6189, 1.30279, 0.092415
3, HARRIS, ORB, MAT_BF, SEL_KNN, 178, 640, 13, 10.195, 14.091, 13.8698, 1.3517, 0.086726
4, HARRIS, ORB, MAT_BF, SEL_KNN, 250, 896, 17, 11.3951, 16.6894, 15.6977, 1.43821, 0.092085
5, HARRIS, ORB, MAT_BF, SEL_KNN, 241, 864, 25, 13.6432, 15.7465, 15.829, 1.57695, 0.103602
6, HARRIS, ORB, MAT_BF, SEL_KNN, 259, 928, 19, 13.8716, 12.7835, 16.5478, 1.91394, 0.107395
7, HARRIS, ORB, MAT_BF, SEL_KNN, 272, 992, 25, 14.4636, 11.9844, 17.694, 1.95118, 0.12572
